Name,File
Aaron Ford,
Aaron R. Rouse,
Al Green,data/rep_on_the_issues/Al_Green.html
Al Mija​res,
Alex Padilla,
Alex Villanueva,
Alexandria Ocasio-Cortez,data/rep_on_the_issues/Alexandria_Ocasio-Cortez.html
Amanda Edwards,
Andrew Gould,
Andrew M. Cuomo,data/rep_on_the_issues/Andrew_Cuomo.html
Andy Tobin,
Angela Pancrazi Moreno,
Ann A. Scott Timmer,
Ann Harris Bennett,
Ann Marie Schubert,
Anna M. Valencia,
Antonio Vazquez,
"Arturo Guajardo, Jr.",
Barbara Cegavske,
Beth A. Wood,
Betty T. Yee,
Beverley McGrew Walker,
Bill Ayub,
Bill Lee,data/rep_on_the_issues/Bill_Lee.html
Bill Rickert,
Bill de Blasio,
Bob Burns,
Bob Dutton,
Bob Mendes,
Boyd Dunn,
Brad Raffensperger,
Brad Sherman,data/rep_on_the_issues/Brad_Sherman.html
Brandon Kinsey,
Brenda Wynn,
Brian Colón,
Brian Kemp,data/rep_on_the_issues/Brian_Kemp.html
Brian Whiteside,
Briana Johnson,
Butch Conway,
Caleb Stegall,
Calvin Hayden,
Carol A. Beier,
Carol A. Corrigan,
Cass Cook,
Catherine Byrne,
Catherine Cortez Masto,
Chad Bianco,
Charles E. Schumer,data/rep_on_the_issues/Charles_Schumer.html
Charles J. Bethel,
Charles Parkin,
Charlie Cardwell,
Charlotte J. Nash,
Cherie Berry,
Cheryl E Johnson,
Chris B. Brown,
Chris Carr,
Chris Hill,
Christi Craddick,
Christina Wynn,
Christopher A. Ballar,
Claude Parrish,
Clay Jenkins,
Clint Bolick,
Colin Stolle,
Corey Stewart,data/rep_on_the_issues/Corey_Stewart.html
Cynthia Zimmer,
"Cyrus R. Vance, Jr.",
Dale R. Folwell,
Dan Biles,
Dan Forest,
Dan McAllister,
Dan Patrick,
Daniel Goodwin,
Darcel D. Clark,
Daron Hall,
David A. Betancourt,
David Briley,
David E. Nahmias,
David Haws,
David Perdue,data/rep_on_the_issues/David_Perdue.html
David Robinson,
Debbie Conway,
Dee Margo,
Delia Briones,
Derek Schmidt,
Diane Trautman,
Dianne Feinstein,data/rep_on_the_issues/Dianne_Feinstein.html
Don Barnes,
