Name,State_Found,Party,Twitter,Facebook,Website
Aaron Ford,NV,Democratic Party,NevadaAG,,http://ag.nv.gov/
Aaron R. Rouse,VA,Nonpartisan,,,https://www.vbgov.com/government/departments/city-clerk/city-council/Pages/city-council-members.aspx
Al Green,TX,Democratic Party,RepAlGreen,repalgreen,http://algreen.house.gov/
Al Mija​res,CA,Nonpartisan,OCDeptofEd,OrangeCountyDepartmentOfEducation,http://www.ocde.us/Superintendent/Pages/default.aspx
Alex Padilla,CA,Democratic Party,CASOSvote,,https://www.sos.ca.gov/
Alex Villanueva,CA,Nonpartisan,,LosAngelesCountySheriffsDepartment,http://sheriff.lacounty.gov/wps/portal/lasd
Alexandria Ocasio-Cortez,NY,Democratic Party,RepAOC,,https://ocasio-cortez.house.gov/
Amanda Edwards,TX,Nonpartisan,amanda4houston,councilmemberamandaedwards,http://www.houstontx.gov/council/4/index.html
Andrew Gould,AZ,,AZCourts,ArizonaSupremeCourt,https://www.azcourts.gov/meetthejustices/Justice-Andrew-Gould
Andrew M. Cuomo,NY,Democratic Party,nygovcuomo,GovernorAndrewCuomo,https://andrewcuomo.com/
Andy Tobin,AZ,Republican Party,corpcommaz,,https://www.azcc.gov/commissioners/ATobin/contact.asp
Angela Pancrazi Moreno,AZ,Democratic Party,,Politician,https://www.yumacountyaz.gov/government/treasurer
Ann A. Scott Timmer,AZ,,AZCourts,ArizonaSupremeCourt,https://www.azcourts.gov/meetthejustices/JusticeAnnAScottTimmer.aspx
Ann Harris Bennett,TX,Unknown,HarrisCountyTAC,HarrisCountyTACOffice,http://www.hctax.net/
Ann Marie Schubert,CA,Nonpartisan,SacCountyDA,SacCountyDA,http://www.sacda.org/
Anna M. Valencia,IL,Nonpartisan,,chicityclerk,http://www.chicityclerk.com/
Antonio Vazquez,CA,,,,http://www.boe.ca.gov/members/board.htm
"Arturo Guajardo, Jr.",TX,Unknown,HidalgoClerk,hidalgocountyclerk,
Barbara Cegavske,NV,Republican Party,NVSOS,,
Beth A. Wood,NC,Democratic Party,NCStateAuditor,,https://www.ncauditor.net/pub42/
Betty T. Yee,CA,Democratic Party,CAController,137732083043662,https://www.sco.ca.gov/
Beverley McGrew Walker,TX,Unknown,,,https://www.fortbendcountytx.gov/government/departments/administration-of-justice/district-clerk
Bill Ayub,CA,Nonpartisan,venturasheriff,227670467266187,https://www.venturasheriff.org/
Bill Lee,TN,Republican Party,BillLeeTN,,
Bill Rickert,TX,Unknown,,,http://www.fortbendcountytx.gov/index.aspx?page=403
Bill de Blasio,NY,Democratic,nycmayorsoffice,,http://www1.nyc.gov/office-of-the-mayor/index.page
Bob Burns,AZ,Republican Party,corpcommaz,,https://www.azcc.gov/commissioners/rburns/contact.asp
Bob Dutton,CA,Nonpartisan,,,http://www.sbcounty.gov/ARC/Main/
Bob Mendes,TN,Nonpartisan,mendesbob,bobmendes2015,https://www.nashville.gov/Metro-Council/Metro-Council-Members/At-Large-3-Council-Member.aspx
Boyd Dunn,AZ,Republican Party,corpcommaz,,https://www.azcc.gov/commissioners/BDunn/contact.asp
Brad Raffensperger,GA,Republican Party,,,http://sos.ga.gov/
Brad Sherman,CA,Democratic Party,BradSherman,63158229861,http://bradsherman.house.gov/
Brandon Kinsey,AZ,Nonpartisan,,,https://www.yumacountyaz.gov/government/courts/superior-court/about-contact/division-6
Brenda Wynn,TN,Nonpartisan,,,http://www.nashvilleclerk.com/
Brian Colón,NM,Democratic Party,,,https://www.saonm.org/
Brian Kemp,GA,Republican Party,GovKemp,,https://gov.georgia.gov/
Brian Whiteside,GA,Democratic,,,https://www.gwinnettcounty.com/web/gwinnett/departments/solicitor
Briana Johnson,NV,Democratic Party,,,https://www.clarkcountynv.gov/assessor/Pages/ContactUs.aspx
Butch Conway,GA,Republican,,,http://www.gwinnettcountysheriff.com/pages/ContactInfo
Caleb Stegall,KS,,,,http://www.kscourts.org/kansas-courts/supreme-court/justice-bios/Stegall.asp
Calvin Hayden,KS,Republican,jocosheriff,JOCOSheriff,http://www.jocosheriff.org/index.aspx?page=163
Carol A. Beier,KS,,,,http://www.kscourts.org/kansas-courts/supreme-court/justice-bios/beier.asp
Carol A. Corrigan,CA,,CalCourts,,https://www.courts.ca.gov/5766.htm
Cass Cook,CA,Nonpartisan,,,https://tularecounty.ca.gov/treasurertaxcollector/
Catherine Byrne,NV,Democratic Party,,,http://controller.nv.gov/
Catherine Cortez Masto,NV,Democratic Party,SenCortezMasto,,https://www.cortezmasto.senate.gov
Chad Bianco,CA,Nonpartisan,RSO,,http://www.riversidesheriff.org/
Charles E. Schumer,NY,Democratic Party,SenSchumer,,http://www.schumer.senate.gov/
Charles J. Bethel,GA,,SupremeCourtGA,,
Charles Parkin,CA,Nonpartisan,,,http://www.longbeach.gov/attorney/
Charlie Cardwell,TN,Nonpartisan,,,https://www.nashville.gov/Trustee.aspx
Charlotte J. Nash,GA,Republican,,,https://www.gwinnettcounty.com/portal/gwinnett/Departments/BoardofCommissioners/AboutYourCommissioners
Cherie Berry,NC,Republican Party,NCDOL,,http://www.nclabor.com/
Cheryl E Johnson,TX,Republican Party,,,http://www.galvestoncountytx.gov/to/Pages/default.aspx
Chris B. Brown,TX,Nonpartisan,COHController,,http://www.houstontx.gov/controller/
Chris Carr,GA,Republican Party,Georgia_AG,GeorgiaAttorneyGeneral,https://law.georgia.gov/
Chris Hill,TX,Republican Party,,,http://www.collincountytx.gov/commissioners_court/pages/default.aspx
Christi Craddick,TX,Republican Party,,,https://www.rrc.state.tx.us/about-us/commissioners/craddick/
Christina Wynn,CA,Nonpartisan,,,http://www.assessor.saccounty.net/Pages/default.aspx
Christopher A. Ballar,GA,Nonpartisan,,,
Claude Parrish,CA,Nonpartisan,,,
Clay Jenkins,TX,Unknown,,,https://www.dallascounty.org/government/comcrt/jenkins/
Clint Bolick,AZ,,AZCourts,ArizonaSupremeCourt,https://www.azcourts.gov/meetthejustices/Justice-Clint-Bolick
Colin Stolle,VA,Republican,,,https://www.vbgov.com/government/departments/commonwealths-attorney/Pages/default.aspx
Corey Stewart,VA,Republican,,,http://www.pwcgov.org/government/bocs/Pages/Chairman-At-Large.aspx
Cynthia Zimmer,CA,Nonpartisan,,,https://www.kerncounty.com/da/
"Cyrus R. Vance, Jr.",NY,Democratic,ManhattanDA,149031721821276,https://www.manhattanda.org/
Dale R. Folwell,NC,Republican Party,nctreasurer,NCDST,https://www.nctreasurer.com/Pages/default.aspx
Dan Biles,KS,,,,http://www.kscourts.org/kansas-courts/supreme-court/justice-bios/biles.asp
Dan Forest,NC,Republican Party,LtGovDanForest,,https://ltgov.nc.gov/
Dan McAllister,CA,Nonpartisan,,,https://www.sdttc.com/
Dan Patrick,TX,Republican Party,LtGovTX,ltgovtx,http://www.ltgov.state.tx.us/
Daniel Goodwin,CA,Nonpartisan,,,http://assessor.countyofventura.org/
Darcel D. Clark,NY,Democratic,,,
Daron Hall,TN,Nonpartisan,DCSO1963,136857721011,https://www.nashville.gov/Sheriffs-Office.aspx
David A. Betancourt,TX,Unknown,,,
David Briley,TN,Nonpartisan,davidbriley,BrileyForViceMayor,https://www.nashville.gov/Mayors-Office.aspx
David E. Nahmias,GA,,SupremeCourtGA,,
David Haws,AZ,Nonpartisan,,,https://www.yumacountyaz.gov/government/courts/superior-court/about-contact/division-4
David Perdue,GA,Republican Party,sendavidperdue,SenatorDavidPerdue,http://www.perdue.senate.gov/
David Robinson,TX,Nonpartisan,dwr4hou,,http://www.houstontx.gov/council/2/
Debbie Conway,NV,Democratic Party,,,https://www.clarkcountynv.gov/recorder/Pages/HoursLocation.aspx
Dee Margo,TX,Nonpartisan,,,https://www.elpasotexas.gov/mayor
Delia Briones,TX,Unknown,,,http://www.epcounty.com/clerk/
Derek Schmidt,KS,Republican Party,KSAGOffice,,http://ag.ks.gov/
Diane Trautman,TX,Unknown,,,http://www.cclerk.hctx.net/
Dianne Feinstein,CA,Democratic Party,SenFeinstein,SenatorFeinstein,http://www.feinstein.senate.gov/public/
Don Barnes,CA,Nonpartisan,ocsd,93196209677,http://www.ocgov.com/gov/ceo/care/oc_sheriff%E2%80%99s_department
Donald J. Trump,TX,Republican Party,potus,whitehouse,http://www.whitehouse.gov/
Donny Youngblood,CA,Nonpartisan,,,http://www.kernsheriff.org/
Dorothy Anne Brown,IL,Democratic,,,http://www.cookcountyclerkofcourt.org/
Doug Ducey,AZ,Republican Party,dougducey,dougducey,
Doug Haubert,CA,Nonpartisan,,,http://cityprosecutordoughaubert.com/
Dwight D. Sullivan,TX,Unknown,dwightsullivan,,http://www.galvestoncountytx.gov/cc/Pages/default.aspx
Dylan Osborne,TX,Unknown,orlando_sanchez,,https://treasurer.harriscountytx.gov/Pages/default.aspx
Ed Eilert,KS,Nonpartisan,jocoksgovt,ed.eilert,http://www.jocogov.org/dept/board-county-commissioners/commissioners/chairman
Ed Emmett,TX,Unknown,,,http://www.judgeemmett.org/
Ed Gonzalez,TX,Democratic Party,HCSOTexas,HCSOTexas,http://www.harriscountyso.org/
Eddie Bernice Johnson,TX,Democratic Party,RepEBJ,CongresswomanEBJtx30,http://ebjohnson.house.gov/
"Eddie Trevino, Jr.",TX,Unknown,,,http://www.co.cameron.tx.us/commissioners/county_judge.php
Edward M. Moody,IL,Unknown,,,https://www.cookcountyil.gov/person/edward-m-moody-0
