Zipcode,State
79936,TX
90011,CA
60629,IL
90650,CA
90201,CA
77084,TX
92335,CA
78521,TX
77449,TX
78572,TX
90250,CA
90280,CA
11226,NY
90805,CA
91331,CA
08701,NJ
90044,CA
92336,CA
00926,PR
94565,CA
10467,NY
92683,CA
75052,TX
91342,CA
92704,CA
30044,GA
10025,NY
92503,CA
92804,CA
78577,TX
75217,TX
92376,CA
93307,CA
10456,NY
10002,NY
91911,CA
91744,CA
75070,TX
77036,TX
93722,CA
92345,CA
60618,IL
93033,CA
93550,CA
95076,CA
11230,NY
11368,NY
37013,TN
11373,NY
79912,TX
37211,TN
30043,GA
11206,NY
10453,NY
92154,CA
11355,NY
95823,CA
77479,TX
91706,CA
10458,NY
92553,CA
90706,CA
23464,VA
11212,NY
60617,IL
91709,CA
11214,NY
11219,NY
91910,CA
22193,VA
77429,TX
93535,CA
66062,KS
93257,CA
30349,GA
60647,IL
77584,TX
10452,NY
77573,TX
11377,NY
11207,NY
77494,TX
75211,TX
11234,NY
28269,NC
11235,NY
94544,CA
10029,NY
60625,IL
89110,NV
92509,CA
77083,TX
91335,CA
85364,AZ
87121,NM
10468,NY
90255,CA
93065,CA
91710,CA
10462,NY
